"Atendimento";"Placa";"Motivo OS"
"6481737";"CUS1B19";"DESMOBILIZAÇÃO"
"6481736";"EOQ2B63";"DESMOBILIZAÇÃO"
"6481735";"EMY8F44";"CORRETIVA"
"6481734";"TDA9J63";""
"6481733";"SIG8I21";"CORRETIVA"
"6481732";"SIP1F35";"CORRETIVA"
"6481731";"FWE2E82";"PREVENTIVA"
"6481730";"SST4B92";"CORRETIVA"
"6481729";"SUT8C01";"PREVENTIVA"
"6481728";"FCE5B02";"CORRETIVA"
"6481727";"SSZ4E86";""
"6481726";"SIW9A38";""
"6481725";"TDM1C10";"O.S Rápida"
"6481723";"SYK7D74";"CORRETIVA"
"6481722";"TCP3C00";""
"6481721";"TCJ0G91";"PREVENTIVA"
"6481720";"SSR3J08";"CORRETIVA"
"6481719";"FFL2J63";"GUINCHO"
"6481718";"STJ9A65";""
"6481717";"SYY7I70";"PREVENTIVA"
"6481716";"EFC3I23";"SINISTRO"
"6481715";"SWN3I94";"O.S Rápida"
"6481714";"FYJ0D81";""
"6481713";"STB4F70";"PREVENTIVA"
"6481712";"SSY3J86";""
"6481711";"SWI6B11";"PREVENTIVA"
"6481710";"TJL1E87";"O.S Rápida"
"6481709";"STP0C21";"PREVENTIVA"
"6481708";"SIS3C30";"RASTREADOR RETIRADA"
"6481707";"SVF3D91";"PREVENTIVA"
"6481706";"TDG9E03";"O.S Rápida"
"6481705";"SIS3C30";"DESMOBILIZAÇÃO"
"6481704";"STC9C70";"PREVENTIVA"
"6481703";"SYK2J41";"CORRETIVA"
"6481702";"TIW6B56";""
"6481701";"SST1A45";""
"6481700";"SUA9F43";""
"6481699";"SVX6I51";"O.S Rápida"
"6481698";"TCJ0G91";"SINISTRO"
"6481697";"SVF5C72";""
"6481696";"TDK1J17";""
"6481695";"SSR7E81";"DESMOBILIZAÇÃO"
"6481694";"STB1H83";"DESMOBILIZAÇÃO"
"6481693";"FXJ1E24";"DESMOBILIZAÇÃO"
"6481692";"TIP4C00";""
"6481691";"RMP6C20";"CORRETIVA"
"6481690";"OPP7D78";"PREVENTIVA"
"6481689";"STP0C21";""
"6481688";"FOE9B13";"RASTREADOR RETIRADA"
"6481687";"QXK8059";"CORRETIVA"
"6481686";"FJP9A02";"RASTREADOR RETIRADA"
"6481685";"SSU1D69";"CORRETIVA"
"6481684";"SJA3F49";""
"6481683";"FCZ7C61";"RASTREADOR RETIRADA"
"6481682";"ECU5C73";""
"6481681";"TJY4I15";"O.S Rápida"
"6481680";"EWU6I93";"RASTREADOR RETIRADA"
"6481679";"RUW5D95";"ENVIO DE 2º VIA DE PLACA"
"6481678";"EST2D32";"RASTREADOR RETIRADA"
"6481677";"SHT7F98";""
"6481676";"GGW6B55";""
"6481675";"OPP7D78";"CORRETIVA"
"6481674";"STN4E81";"CORRETIVA"
"6481673";"SYY7I70";""
"6481672";"GGW6B55";"SINISTRO"
"6481671";"FJP9A02";"DESMOBILIZAÇÃO"
"6481670";"SIW0I81";""
"6481669";"RVK3F80";"CORRETIVA"
"6481668";"RVD3G03";""
"6481667";"STP6B54";""
"6481666";"SVL5I13";"SINISTRO"
"6481665";"STP0C21";"CORRETIVA"
"6481664";"FOE9B13";"DESMOBILIZAÇÃO"
"6481663";"FCZ7C61";"DESMOBILIZAÇÃO"
"6481662";"EWU6I93";"DESMOBILIZAÇÃO"
"6481661";"EST2D32";"DESMOBILIZAÇÃO"
"6481660";"FKJ6B13";"CORRETIVA"
